constructor_name,constructor_winner,race_winner,race_name,race_position,circuit_name,year
Mercedes,1,Hamilton,Australian Grand Prix,1,Albert Park Grand Prix Circuit,2015
Ferrari,1,Hamilton,Australian Grand Prix,3,Albert Park Grand Prix Circuit,2018
Mercedes,1,Hamilton,Australian Grand Prix,2,Albert Park Grand Prix Circuit,2019
Mercedes,1,Hamilton,Malaysian Grand Prix,1,Sepang International Circuit,2014
Mercedes,1,Hamilton,Malaysian Grand Prix,2,Sepang International Circuit,2015
Mercedes,1,Hamilton,Malaysian Grand Prix,3,Sepang International Circuit,2017
Mercedes,1,Hamilton,Bahrain Grand Prix,2,Bahrain International Circuit,2014
Mercedes,1,Hamilton,Bahrain Grand Prix,2,Bahrain International Circuit,2016
Ferrari,1,Hamilton,Bahrain Grand Prix,1,Bahrain International Circuit,2017
Ferrari,1,Hamilton,Bahrain Grand Prix,2,Bahrain International Circuit,2018
Mercedes,1,Hamilton,Bahrain Grand Prix,2,Bahrain International Circuit,2019
Mercedes,1,Hamilton,Bahrain Grand Prix,3,Bahrain International Circuit,2020
Mercedes,1,Hamilton,Spanish Grand Prix,3,Circuit de Barcelona-Catalunya,2014
Mercedes,1,Hamilton,Spanish Grand Prix,1,Circuit de Barcelona-Catalunya,2015
Mercedes,1,Hamilton,Spanish Grand Prix,1,Circuit de Barcelona-Catalunya,2017
Mercedes,1,Hamilton,Spanish Grand Prix,3,Circuit de Barcelona-Catalunya,2018
Mercedes,1,Hamilton,Spanish Grand Prix,1,Circuit de Barcelona-Catalunya,2019
Mercedes,1,Hamilton,Spanish Grand Prix,2,Circuit de Barcelona-Catalunya,2020
Red Bull,1,Hamilton,Spanish Grand Prix,2,Circuit de Barcelona-Catalunya,2022
Red Bull,1,Hamilton,Spanish Grand Prix,3,Circuit de Barcelona-Catalunya,2023
Mercedes,1,Hamilton,Monaco Grand Prix,3,Circuit de Monaco,2014
Mercedes,1,Hamilton,Monaco Grand Prix,3,Circuit de Monaco,2015
Mercedes,1,Hamilton,Monaco Grand Prix,1,Circuit de Monaco,2016
Red Bull,1,Hamilton,Monaco Grand Prix,1,Circuit de Monaco,2021
Red Bull,1,Hamilton,Monaco Grand Prix,1,Circuit de Monaco,2023
Mercedes,1,Hamilton,Canadian Grand Prix,3,Circuit Gilles Villeneuve,2015
Mercedes,1,Hamilton,Canadian Grand Prix,2,Circuit Gilles Villeneuve,2016
Mercedes,1,Hamilton,Canadian Grand Prix,1,Circuit Gilles Villeneuve,2017
Red Bull,1,Hamilton,Canadian Grand Prix,2,Circuit Gilles Villeneuve,2023
Red Bull,1,Hamilton,Canadian Grand Prix,1,Circuit Gilles Villeneuve,2024
Mercedes,1,Hamilton,British Grand Prix,1,Silverstone Circuit,2014
Mercedes,1,Hamilton,British Grand Prix,1,Silverstone Circuit,2015
Mercedes,1,Hamilton,British Grand Prix,3,Silverstone Circuit,2016
Mercedes,1,Hamilton,British Grand Prix,1,Silverstone Circuit,2017
Ferrari,1,Hamilton,British Grand Prix,3,Silverstone Circuit,2018
Mercedes,1,Hamilton,British Grand Prix,1,Silverstone Circuit,2019
Mercedes,1,Hamilton,British Grand Prix,3,Silverstone Circuit,2020
Mercedes,1,Hamilton,70th Anniversary Grand Prix,1,Silverstone Circuit,2020
Red Bull,1,Hamilton,British Grand Prix,2,Silverstone Circuit,2021
Red Bull,1,Hamilton,British Grand Prix,1,Silverstone Circuit,2022
Red Bull,1,Hamilton,British Grand Prix,3,Silverstone Circuit,2023
Mercedes,1,Hamilton,German Grand Prix,1,Hockenheimring,2014
Mercedes,1,Hamilton,German Grand Prix,3,Hockenheimring,2016
Mercedes,1,Hamilton,German Grand Prix,1,Hockenheimring,2018
Mercedes,1,Hamilton,Hungarian Grand Prix,3,Hungaroring,2015
Mercedes,1,Hamilton,Hungarian Grand Prix,3,Hungaroring,2016
Mercedes,1,Hamilton,Hungarian Grand Prix,2,Hungaroring,2019
Mercedes,1,Hamilton,Hungarian Grand Prix,1,Hungaroring,2020
Mercedes,1,Hamilton,Hungarian Grand Prix,2,Hungaroring,2021
Red Bull,1,Hamilton,Hungarian Grand Prix,1,Hungaroring,2022
Red Bull,1,Hamilton,Hungarian Grand Prix,2,Hungaroring,2023
Mercedes,1,Hamilton,Belgian Grand Prix,2,Circuit de Spa-Francorchamps,2015
Mercedes,1,Hamilton,Belgian Grand Prix,1,Circuit de Spa-Francorchamps,2016
Mercedes,1,Hamilton,Belgian Grand Prix,2,Circuit de Spa-Francorchamps,2017
Mercedes,1,Hamilton,Belgian Grand Prix,3,Circuit de Spa-Francorchamps,2018
Mercedes,1,Hamilton,Belgian Grand Prix,3,Circuit de Spa-Francorchamps,2019
Mercedes,1,Hamilton,Belgian Grand Prix,2,Circuit de Spa-Francorchamps,2020
